pl_name,hostname,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,pl_orbtper,pl_tranmid,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassj,pl_bmassprov,pl_dens,pl_eqt,pl_insol,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_lum,st_spectype,st_met,st_age,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_vmag,sy_gaiamag,discoverymethod,disc_year,disc_facility,default_flag,pl_refname,st_refname,sy_refname,rowupdate
HD 219134 b,HD 219134,b,3.092926,1e-05,-1e-05,0.03876,0.00047,-0.00047,0.0,,,85.05,0.09,-0.09,0.0,,2457126.69913,1.602,0.055,-0.055,0.14292087,4.74,0.19,-0.19,0.01491363,Mass,6.34,1015.0,176.2,4699.0,16.0,-16.0,0.778,0.005,-0.005,0.81,0.03,-0.03,-0.57741,,0.11,11.0,348.3372026,57.1696255,6.53127,0.00384,-0.00385,153.081,0.0895024,-0.0895024,5.56911,5.2402,Radial Velocity,2015,Roque de los Muchachos Observatory,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2017-03-14
HD 219134 c,HD 219134,c,6.76458,0.00033,-0.00033,0.0653,0.0008,-0.0008,0.062,0.039,-0.039,87.28,0.1,-0.1,70.0,,2457474.04591,1.511,0.047,-0.047,0.13480239,4.36,0.22,-0.22,0.01371803,Mass,6.95,782.0,62.1,4699.0,16.0,-16.0,0.778,0.005,-0.005,0.81,0.03,-0.03,-0.57741,,0.11,11.0,348.3372026,57.1696255,6.53127,0.00384,-0.00385,153.081,0.0895024,-0.0895024,5.56911,5.2402,Radial Velocity,2015,Roque de los Muchachos Observatory,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2017-03-14
HD 219134 f,HD 219134,f,22.717,0.015,-0.015,0.1463,0.0018,-0.0018,0.148,0.047,-0.047,,,,81.0,,,1.31,0.02,-0.02,0.11687037,7.3,0.4,-0.4,0.02296825,Mass,,522.6,12.38,4699.0,16.0,-16.0,0.778,0.005,-0.005,0.81,0.03,-0.03,-0.57741,,0.11,11.0,348.3372026,57.1696255,6.53127,0.00384,-0.00385,153.081,0.0895024,-0.0895024,5.56911,5.2402,Radial Velocity,2015,Multiple Observatories,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2017-03-14
HD 219134 d,HD 219134,d,46.859,0.028,-0.028,0.237,0.003,-0.003,0.138,0.025,-0.025,,,,173.0,,,1.61,0.02,-0.02,0.14363458,16.17,0.64,-0.64,0.05087625,Mass,,410.5,4.72,4699.0,16.0,-16.0,0.778,0.005,-0.005,0.81,0.03,-0.03,-0.57741,,0.11,11.0,348.3372026,57.1696255,6.53127,0.00384,-0.00385,153.081,0.0895024,-0.0895024,5.56911,5.2402,Radial Velocity,2015,Roque de los Muchachos Observatory,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2017-03-14
HD 219134 g,HD 219134,g,94.2,0.2,-0.2,0.3753,0.0004,-0.0004,0.0,,,,,,0.0,2449972.0,,,,,,10.80622,1.27132,-1.27132,0.034,Msini,,,,4913.0,,,0.77,0.02,-0.02,0.794,0.037,-0.022,-0.50864,K3 V,0.08,12.46,348.3372026,57.1696255,6.53127,0.00384,-0.00385,153.081,0.0895024,-0.0895024,5.56911,5.2402,Radial Velocity,2015,Multiple Observatories,1,<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>,<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-11-18
HD 219134 h,HD 219134,h,2247.0,43.0,-43.0,3.11,0.04,-0.04,0.06,0.04,-0.04,,,,215.0,2448725.0,,,,,,108.0622,6.3566,-6.3566,0.34,Msini,,,,4913.0,,,0.77,0.02,-0.02,0.794,0.037,-0.022,-0.50864,K3 V,0.08,12.46,348.3372026,57.1696255,6.53127,0.00384,-0.00385,153.081,0.0895024,-0.0895024,5.56911,5.2402,Radial Velocity,2015,Roque de los Muchachos Observatory,1,<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>,<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-11-18
HD 80606 b,HD 80606,b,111.436765,7.4e-05,-7.4e-05,0.4603,0.0021,-0.0021,0.93183,0.00014,-0.00014,89.24,0.01,-0.01,-58.887,2458882.344,2458888.07466,11.56766808,0.16813471,-0.16813471,1.032,1323.46926959,1.49379351,-1.49379351,4.1641,Mass,,,,5565.0,,,1.05,0.01,-0.01,1.05,,,,,0.35,,140.6569501,50.6037764,66.4711,0.1612,-0.1604,15.0153,0.0361214,-0.0361214,9.06,8.82008,Radial Velocity,2001,Multiple Observatories,1,<a refstr=PEARSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..178P/abstract target=ref>Pearson et al. 2022</a>,<a refstr=PEARSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..178P/abstract target=ref>Pearson et al. 2022</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2025-12-04
K2-18 c,K2-18,c,8.962,0.008,-0.008,0.06,0.003,-0.003,0.47,,,,,,,,,,,,,7.51,1.33,-1.33,0.02362898,Msini,,363.0,,3457.0,39.0,-39.0,0.411,0.038,-0.038,0.359,0.047,-0.047,,,,,172.560141,7.5878315,38.0266,0.07955,-0.07955,26.2686,0.0545906,-0.0545906,13.477,12.4154,Radial Velocity,2017,La Silla Observatory,1,<a refstr=CLOUTIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..35C/abstract target=ref>Cloutier et al. 2017</a>,<a refstr=CLOUTIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..35C/abstract target=ref>Cloutier et al. 2017</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2017-12-19
K2-18 b,K2-18,b,32.939623,9.5e-05,-0.0001,0.1429,0.006,-0.0065,0.2,0.08,-0.08,,,,-5.7,,2457264.39144,2.37,0.22,-0.22,0.21143724,8.92,1.7,-1.6,0.02806532,Mass,4.11,284.0,,3457.0,39.0,-39.0,0.411,0.038,-0.038,0.359,0.047,-0.047,,,0.12,,172.560141,7.5878315,38.0266,0.07955,-0.07955,26.2686,0.0545906,-0.0545906,13.477,12.4154,Transit,2015,K2,1,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-03-18
Kepler-11 b,Kepler-11,b,10.3039,0.0006,-0.001,0.091,0.001,-0.001,0.045,0.068,-0.042,89.64,0.36,-0.18,,,2455589.7378,1.8,0.03,-0.05,0.161,1.9,1.4,-1.0,0.006,Mass,1.72,,,5663.0,55.0,-66.0,1.065,0.017,-0.022,0.961,0.025,-0.025,,,,8.5,297.1150949,41.9091092,646.346,6.375,-6.375,1.51841,0.0151448,-0.0151448,13.817,13.7062,Transit,2010,Kepler,1,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,<a refstr=LISSAUER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770..131L/abstract target=ref> Lissauer et al. 2013 </a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14
